horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,C,epsilon
10,20,chronological_712,42,375.8501152680856,1480,,10.0,0.2
10,20,chronological_712,42,285.7836529763448,1480,,100.0,0.05
10,20,chronological_712,42,285.7223490212687,1480,,100.0,0.2
10,20,chronological_712,2024,375.79840475917524,1480,,10.0,0.05
10,20,chronological_712,2024,375.8501152680856,1480,,10.0,0.2
10,20,chronological_712,2024,285.7836529763448,1480,,100.0,0.05
10,20,chronological_712,2024,285.7223490212687,1480,,100.0,0.2
10,20,chronological_712,3407,375.79840475917524,1480,,10.0,0.05
10,20,chronological_712,3407,375.8501152680856,1480,,10.0,0.2
10,20,chronological_712,3407,285.7836529763448,1480,,100.0,0.05
10,20,chronological_712,3407,285.7223490212687,1480,,100.0,0.2
15,5,chronological_712,42,395.6842524838358,370,,10.0,0.05
15,5,chronological_712,42,395.5703239052065,370,,10.0,0.2
15,5,chronological_712,42,286.536396090728,370,,100.0,0.05
15,5,chronological_712,42,286.54573234197477,370,,100.0,0.2
15,5,chronological_712,2024,395.6842524838358,370,,10.0,0.05
15,5,chronological_712,2024,395.5703239052065,370,,10.0,0.2
15,5,chronological_712,2024,286.536396090728,370,,100.0,0.05
15,5,chronological_712,2024,286.54573234197477,370,,100.0,0.2
15,5,chronological_712,3407,395.6842524838358,370,,10.0,0.05
15,5,chronological_712,3407,395.5703239052065,370,,10.0,0.2
15,5,chronological_712,3407,286.536396090728,370,,100.0,0.05
15,5,chronological_712,3407,286.54573234197477,370,,100.0,0.2
15,10,chronological_712,42,379.19120461318215,740,,10.0,0.05
15,10,chronological_712,42,379.34240292296425,740,,10.0,0.2
15,10,chronological_712,42,282.06317492106086,740,,100.0,0.05
15,10,chronological_712,42,282.02425182703416,740,,100.0,0.2
15,10,chronological_712,2024,379.19120461318215,740,,10.0,0.05
15,10,chronological_712,2024,379.34240292296425,740,,10.0,0.2
15,10,chronological_712,2024,282.06317492106086,740,,100.0,0.05
15,10,chronological_712,2024,282.02425182703416,740,,100.0,0.2
15,10,chronological_712,3407,379.19120461318215,740,,10.0,0.05
15,10,chronological_712,3407,379.34240292296425,740,,10.0,0.2
15,10,chronological_712,3407,282.06317492106086,740,,100.0,0.05
15,10,chronological_712,3407,282.02425182703416,740,,100.0,0.2
15,15,chronological_712,42,372.82999937514074,1110,,10.0,0.05
15,15,chronological_712,42,372.84642476760246,1110,,10.0,0.2
15,15,chronological_712,42,288.04734895280444,1110,,100.0,0.05
15,15,chronological_712,42,287.9812022692061,1110,,100.0,0.2
15,15,chronological_712,2024,372.82999937514074,1110,,10.0,0.05
15,15,chronological_712,2024,372.84642476760246,1110,,10.0,0.2
15,15,chronological_712,2024,288.04734895280444,1110,,100.0,0.05
